ORNEK_NO,old_id,new_id,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,PLANDAKI_MESCERE_TIPI,AKTUEL_MES_TIP,BONITET,BOLME_NO,EGIM,BAKI,RAKIM,PAFTA_NO,UTM_X,UTM_Y,IL_ADI,ILCE_ADI,DILIM_NO,ONCEKI_ARAZI,MEVCUT_ARAZI,STATU_VE_TESCIL,STATUSU,TKGM_2021_,TAPUCINSAC,PARSEL_TUR,ARAZI_KUL,ISLETME_DURUMU,ORMAN_FORMU,MULKIYET,KATLILIK_DURUMU,GELISIM_CAGI,KORUMA_AMACLI_ONLEM,KORUMA_AMACLI_ONLEM_SEKLI,İŞLETME_AMAÇLARI,ADAYA_ANIT_AGACI,ADAY_ANIT_AGACI_TURU,ADAY_ANIT_AGACI_BOY,ADAY_ANIT_AGACI_CAP,ADAY_ANIT_AGACI_UTMX,ADAY_ANIT_AGACI_UTMY,DOGAL_GENCLIK,DAGILIM,DIGER_VEJETASYON_TURU,DIGER_VEJETASYON_TIPI,YUZEYSEL_TASLIK,DIS_TOPRAK,DIS_TOPRAK_ORTULU,DIS_TOPRAK_CIPLAK_DURUMU,OLU_ORTU_TIPI,OLU_ORTU_TIPI_ESAS_TUR_KARISIMI,OLU_ORTU_KALINLIGI_MUL,OLU_ORTU_KALINLIGI_HUMUS,OLU_ORTU_CURUNTULU_MUL,MUTLAK_DERINLIK,FIZYOLOJIK_DERINLIK,H1_HORIZON_TASLIGI,H2_HORIZON_TASLIGI,H3_HORIZON_TASLIGI,H4_HORIZON_TASLIGI,H1_HORIZON_KALINLIGI,H2_HORIZON_KALINLIGI,H3_HORIZON,H4__HORIZON,ANKAYA,ANKAYA_NOT,HEDEF_TURU,HEDEF_TURU_ACIKLAMA,DOGALLIK,ORMAN_ZARARLILARI,YAPRAK_KAYIP_ORANI,ENVANTER_EKIBI,ROPERDEN_ORNEK_ALANA_GIDIS,DIGER_GOZLEM,BAG_1,BAG_2,ENVANTER_TARIHI,YIL,BLOK
104829,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.303204,40.739645,Z,Z,0,300,20,Düzlük,193,G18-c1,525600,4509900,Tekirdağ,Şarköy,35,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,Orman Disi - Ziraat,Zeytinlik,,06-08-2019,2019,4
104839,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.303081,40.712619,Z,Z,0,383,21,Düzlük,112,G18-c1,525600,4506900,Tekirdağ,Şarköy,35,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,Orman Disi - Ziraat,Zeytinlik,,06-08-2020,2020,5
109346,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Üst Yamaç,İSTANBUL,KIRKLARELİ,KİRAZPINAR ,27.345535,42.036621,Z,Z,0,20,4,Düzlük,469,D18-c4,528600,4653900,Kırklareli,Merkez,35,Ziraat,Ziraat,Statüsüz,,Orman Degil, ,2,MERA/ÇAYIR,Yok,Açıklık Alan,Özel Orman,Yok,NA,Koruma Amaçlı Önlem Yok,,Tarım arazisi ,Hayır,,,,,,Yok,Yok,,Yok,,Örtülü,Yabanlaşmış,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Duzluk,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 275° açı ile 30 m mesafededir.",Yok,Yok,,05-08-2023,2023,3
109356,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Alt Yamaç,İSTANBUL,KIRKLARELİ,KİRAZPINAR,27.345389,42.009602,KnMcd2,KnMcd2,2,49,19,Güney Batı,414,D18-c4,528600,4650900,Kırklareli,Merkez,35,Orman,Orman,Statüsüz,,Orman,ORMAN, ,ORMAN,İşletilen Orman,Değişikyaşlı ve Düşey Kapalı,Devlet Ormanı,İki Katlı,C,2,,Kaliteli ve Özellikli Odun Üretimi,2,,,,,,Yok,,,,90,,Yabanlaşmış,,Ham Humus,Saf Yapraklı,,"0,50",,90,90,,2,15,,35,45,45,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,,,07-09-2019,2019,4
109366,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI+IBRELI,Orta Kapalı,Alt Yamaç,İSTANBUL,KIRKLARELİ,KİRAZPINAR,27.345243,41.982582,BM,BM,0,102,23,Güney,398,E18-b1,528600,4647900,Kırklareli,Merkez,35,Orman,Orman,Statüsüz,,Orman,ORMAN, ,ORMAN,İşletilen Orman,Değişikyaşlı ve Düşey Kapalı,Devlet Ormanı,İki Katlı,NA,2,,Kaliteli ve Özellikli Odun Üretimi,2,,,,,,Az,Heterojen,,Yok,,,Yabanlaşmış,,Ham Humus,Saf Yapraklı,,"0,10",,110,110,,1,5,,55,65,65,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,,,07-09-2020,2020,5
109376,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI,Normal Kapalı,Orta Yamaç,İSTANBUL,KIRKLARELİ,DEREKÖY,27.345097,41.955563,Mbc3,Mbc3,2,157,8,Kuzey Doğu,529,E18-b1,528600,4644900,Kırklareli,Merkez,35,Orman,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Değişikyaşlı ve Düşey Kapalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Kaliteli ve Özellikli Odun Üretimi,Hayır,,,,,,Çok,Homojen,,Yok,8,Örtülü,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,2,1,2,100,100,10,30,50,65,10,20,20,50,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 170 derece 72 mt ,arazide ölçüme girmeyen gürgen ve kayın agaçları var ,profılden noktaya 25 derece 4 mt ,,162-2021,2021,1
109386,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI,Boşluklu Kapalı,Taban,İSTANBUL,KIRKLARELİ,DEREKÖY,27.344951,41.928543,BM,BM,0,215,10,Kuzey Doğu,509,E18-b1,528600,4641900,Kırklareli,Merkez,35,Bilinmiyor,Orman,Statüsüz,,Orman,SARIGÖL BİRİNCİ DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Kaliteli ve Özellikli Odun Üretimi,Hayır,,,,,,Yok,,,Yok,2,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Saf Yapraklı,2,,1,80,80+,15,,,85,0-25,,,26+,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 290 derece açıyla 200 metre uzaklıktadır.",-,"Nokta, profil çukurundan 270 derece ve 7 metre uzaklıktadır.",,30-07-2022,2022,2
109396,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Üst Yamaç,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.344806,41.901523,MGna3,MGna3,2,178,40,Batı,509,E18-b1,528600,4638900,Kırklareli,Merkez,35,Bilinmiyor,Orman,Statüsüz,,Orman,KAPAKLI DEVLET ORMANI, ,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,A,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Az,Heterojen,,Yok,,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı Karışık,1,,1,90,90+,20,30,45,95,30,30,30,90+,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 277° açı ile 200 m mesafededir.",Yok,"Nokta, toprak profilinden 172° açı ile 4,8 m mesafededir.",,05-08-2023,2023,3
109406,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.344661,41.874503,OT,OT,0,336,2,Düzlük,545,E18-b4,528600,4635900,Kırklareli,Merkez,35,Bilinmiyor,Bilinmiyor,Statüsüz,,Orman,DEVLET ORMANI,1,İSKAN,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Ağaçsız orman toprağı,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,Mera açıklık alan,"mera, açıklık",,11-08-2019,2019,4
109416,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.344515,41.847483,Me,Me,3,374,8,Doğu,431,E18-b4,528600,4632900,Kırklareli,Merkez,35,Orman,Orman,Statüsüz,,Orman Degil, ,2,İSKAN,İşletilen Orman,Değişikyaşlı ve Düşey Kapalı,Devlet Ormanı,Çok Katlı,NA,2,,Mera ,2,,,,,,Yok,,,,8,,Yeşillenmiş,,Ham Humus,Saf Yapraklı,,"0,20",,100,100,,4,8,,40,50,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,mera olarak gözüküyor.,,,10-09-2020,2020,5
109436,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum+Sürgün ,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Alt Yamaç,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.344226,41.793442,Mab3,Mab3,3,463,40,Doğu,233,E18-b4,528600,4626900,Kırklareli,Merkez,35,Bilinmiyor,Orman,Statülü,Diğer,Orman,DEVLET ORMANI,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,İki Katlı,B,Koruma Amaçlı Önlem Yok,,Su Kaynaklarını Koruma,Hayır,,,,,,Az,Heterojen,,Yok,5,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,3,,1,110,110+,,,45,,5,,1610+,,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 200 derece açıyla uzaklıktadır.","Nokta, baraj alanının yanına düştü.","Nokta, profil çukuruna 150 derece açıyla ve 7 metre uzaklıktadır",,28-07-2022,2022,2
109446,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.344081,41.766421,Su,Su,0,484,55,Kuzey,236,E18-b4,528600,4623900,Kırklareli,Merkez,35,Bilinmiyor,Orman,Statüsüz,,Orman,Orman,11,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Bent ,Hayır,,,,,,Yok,,,Yok,10,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı Karışık,1,,1,110,110,30,40,40,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 45° açı ile 206 m mesafededir.",Yok,"Nokta, atoprak profilinden 186° açı ile 1 m mesafededir.",,08-08-2023,2023,3
109486,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Sırt,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.343506,41.658338,Me,Me,3,526,2,Düzlük,200,E18-c1,528600,4611900,Kırklareli,Merkez,35,Bilinmiyor,Orman,Statüsüz,,Orman Degil, ,2,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Mera ,Hayır,,,,,,Az,Heterojen,,Yok,,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Saf Yapraklı,2,,1,110,110+,5,,20,50,0-30,,31-75,7610,Numune Alındı,,,Hedef Tür Yok,Duzluk,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 260 derece açıyla 24,80 metre uzaklıktadır.",Nokta yolun ortasına düşmekte olup yol ayçiçeği tarlasıyla birleşiyor.,"Nokta, profil çukurundan 200 derece açıyla ve 5 metre uzaklıktadır.",,31-07-2022,2022,2
109526,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Tepe,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.342933,41.550252,Z,Z,0,122,5,Düzlük,137,E18-c4,528600,4599900,Kırklareli,Lüleburgaz,35,Ziraat,Ziraat,Statüsüz,,,,,,İşletilmeyen ,Aynıyaşlı Maktalı,Özel Orman,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Tarım arazisi ,Hayır,,,,,,Az,Heterojen,,Yok,5,Örtülü,Ölü Örtü Kaplı,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Bilinmiyor,Yapay,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 270 derece 10 metre ,nokta ziraat arazisine isabet etti gürgen meşe ve kuşburnu türleri gözlemlendi ,,,152-2021,2021,1
109536,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.34279,41.523231,Z,Z,0,146,5,Düzlük,145,E18-c4,528600,4596900,Kırklareli,Lüleburgaz,35,Ziraat,Ziraat,Statüsüz,,,,,,Yok,Açıklık Alan,Özel Orman,Yok,NA,Koruma Amaçlı Önlem Yok,,Tarım arazisi ,Hayır,,,,,,Yok,Yok,,Yok,2,Çıplak,,Yumuşak,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Duzluk,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 180 derece açıyla 250 metre uzaklıktadır.",Nokta ziraat parseline düşmüştür.,,,03-08-2022,2022,2
109546,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI,Gevşek Kapalı,Üst Yamaç,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.342648,41.496209,BM,BM,0,150,4,Düzlük,135,F18-b1,528600,4593900,Kırklareli,Lüleburgaz,35,Bilinmiyor,Orman,Statüsüz,,Orman,DEVLET ORMANI,1,ZİRAAT,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Hayır,,,,,,Yok,,,Yok,,Örtülü,Yabanlaşmış,,Yok,Yok,,,,110,110+,30,40,40,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 93° açı ile 80 m mesafededir.",Yok,"Nokta, toprak profilinden 270° açı ile 8,10 m mesafededir.",,09-08-2023,2023,3
109716,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Alt Yamaç,İSTANBUL,TEKİRDAĞ,TEKİRDAĞ,27.340254,41.036818,MzGnb3,MzGnb3,4,546,13,Güney,170,F18-c4,528600,4542900,Tekirdağ,Süleymanpaşa,35,Ziraat,Ziraat,Statüsüz,,Orman Degil, ,1,ZİRAAT,İşletilmeyen ,Açıklık Alan,Özel,Yok,B,,,Sosyal Baskılı Alanlar,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,Orman içi açıklığa denk gelmiştir.,,,06-08-2020,2020,5
109726,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,İSTANBUL,TEKİRDAĞ,TEKİRDAĞ,27.340115,41.009794,Z,Z,0,570,3,Batı,201,F18-c4,528600,4539900,Tekirdağ,Süleymanpaşa,35,Ziraat,Ziraat,Statüsüz,,Orman Degil, ,2,ORMAN,İşletilmeyen ,Aynıyaşlı Maktalı,Özel Orman,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Hayır,,,,,,Yok,,,Yok,,Örtülü,Yabanlaşmış,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Bilinmiyor,Yapay,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 218 derece 15 metre ,Noktanın %50 sinden fazlası tarım arazisine denk geldiği için toprak profili açılmadı. ,,,142-2021,2021,1
109736,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Sırt,İSTANBUL,TEKİRDAĞ,TEKİRDAĞ,27.339976,40.98277,Z,Z,0,578,5,Düzlük,218,G18-b1,528600,4536900,Tekirdağ,Süleymanpaşa,35,Ziraat,Ziraat,Statüsüz,,,,,,Yok,Açıklık Alan,Özel Orman,Yok,NA,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Hayır,,,,,,Yok,Yok,,Yok,,Örtülü,Yeşillenmiş,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Duzluk,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,Araçtan Noktaya 10 M 15 Derece ,Noktaya Ziraat Parseline Düşmüştür,,,16-08-2022,2022,2
109766,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,TEKİRDAĞ,TEKİRDAĞ,27.339561,40.901696,Z,Z,0,120,15,Düzlük,287,G18-b1,528600,4527900,Tekirdağ,Süleymanpaşa,35,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,Ziraat alanı,,,06-08-2020,2020,5
109796,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Üst Yamaç,İSTANBUL,TEKİRDAĞ,TEKİRDAĞ,27.339147,40.820622,Mza3,Mza3,5,331,40,Batı,631,G18-b4,528600,4518900,Tekirdağ,Şarköy,35,Bilinmiyor,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,A,Koruma Amaçlı Önlem Yok,,Toprak Koruma,Hayır,,,,,,Orta,Heterojen,,Yok,10,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı Karışık,1,,2,50,50+,50,70,,,0-30,30-50,,,Numune Alındı,,,Bilinmiyor,Doğala Uygun,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,"X:0528514, Y:4518838  koordinatlı yoldan  86 dereceli açı doğu yönünde 110 metre sonunda noktaya varılmıştır.",Yaş halkası alınamadı.,"Nokta, toprak profili merkezinden 293°  ile 10.40 metre mesafededir.",,27-07-2023,2023,3
109806,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Orta Yamaç,İSTANBUL,TEKİRDAĞ,ŞARKÖY,27.33901,40.793596,BMz,BMz,0,31,65,Güney,396,G18-b4,528600,4515900,Tekirdağ,Şarköy,35,Orman,Orman,Statüsüz,,Orman,ORMAN,1,İSKAN,İşletilen Orman,Değişikyaşlı ve Düşey Kapalı,Devlet Ormanı,Çok Katlı,NA,1,Şekil Doldurulacak,Doğayı Koruma,2,,,,,,Yok,,,,10,,Ölü Örtü Kaplı,,Yok,Yok,,,,100,100,20,25,,,90,100,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Aciklik,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,Doğa Koruma Sahası,,,11-08-2019,2019,4
114087,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Orta Yamaç,İSTANBUL,KIRKLARELİ,KİRAZPINAR ,27.381618,42.009487,Mc2,Mc2,2,51,30,Güney Batı,559,D18-c3,531600,4650900,Kırklareli,Merkez,35,Orman,Orman,Statüsüz,,Orman,ORMAN, ,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,C,Koruma Amaçlı Önlem Yok,,Kaliteli ve Özellikli Odun Üretimi,Hayır,,,,,,Orta,Heterojen,,Yok,5,Örtülü,Ölü Örtü Kaplı,,Ham Humus,Yapraklı Karışık,2,1,1,110,110,,5,50,80,,10,30,70,Numune Alındı,,,Bilinmiyor,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 27 derecede 300 m mesafe,Nokta dere yatağına isabet etti,"profilden noktaya 221 derecede 7,50 m mesafe","Dereden noktaya 310 derecede 2,20 m mesafe",302-2021,2021,1
114097,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Orta Yamaç,İSTANBUL,KIRKLARELİ,DEREKÖY,27.381456,41.982468,MKna3,MKna3,2,110,20,Kuzey Batı,517,E18-b2,531600,4647900,Kırklareli,Merkez,35,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,A,Koruma Amaçlı Önlem Yok,,Kaliteli ve Özellikli Odun Üretimi,Hayır,,,,,,Yok,Yok,,Yok,4,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,2,,1,110,110,10,,50,,0-20,,2110,,Numune Alındı,,,Hedef Tür Yok,Doğala Uygun,Sarılıcı Bitkiler,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, aracın kaldığı yerden 328 derece açıyla48 metre uzaklıktadır.","Farklı türlerde diri örtü bulunmakta olup , çokça da  fındık ve üvez bulunmaktadır.","Nokta, profil çukuruna 180 derece açıyla ve 7 metre uzaklıktadır.",,30-07-2022,2022,2
114107,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Tepe,İSTANBUL,KIRKLARELİ,DEREKÖY,27.381295,41.955448,Z,Z,0,138,2,Düzlük,505,E18-b2,531600,4644900,Kırklareli,Merkez,35,Ziraat,Orman,Statüsüz,,Orman,ORMAN,3,MERA/ÇAYIR,Yok,Açıklık Alan,Özel Orman,Yok,NA,Koruma Amaçlı Önlem Yok,,Tarım arazisi ,Hayır,,,,,,Yok,Yok,,Yok,,Örtülü,Yabanlaşmış,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Duzluk,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 324° açı ile 58 m mesafededir.",Belirlenen nokta tapulu alana denk gelmektedir.,Yok,,05-08-2023,2023,3
114117,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Orta Yamaç,İSTANBUL,KIRKLARELİ,DEREKÖY,27.381134,41.928428,Mc3,Mc3,2,57,20,Güney,454,E18-b2,531600,4641900,Kırklareli,Merkez,35,Orman,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,C,2,,Su Kaynaklarını Koruma,2,,,,,,Çok,Heterojen,,Yok,,Örtülü,Ölü Örtü Kaplı,,Yok,Yok,,"0,50",,101,101,1,5,5,,10,20,21,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,alt tabakadan fazla miktarda gençlik var. Gençleştirmeye uygun.,Yoldan 60 metre ormana girilerek envanter yapılmıştır.,,12-08-2019,2019,4
114127,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,KIRKLARELİ,KIRKLARELİ,27.380973,41.901409,OT,OT,0,182,13,Düzlük,499,E18-b2,531600,4638900,Kırklareli,Merkez,35,Bilinmiyor,Bilinmiyor,Statüsüz,,Orman,DOMUZ KULUBELERİ DEVLET ORMANI ÜÇ,1,ORMAN,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Ağaçsız orman toprağı,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,Tarla,,,11-08-2020,2020,5
